,Date,CPIH 12-month inflation rate,Type,Value
0,Oct 2020,0.9,Food and non-alcoholic beverages,0.05
1,Oct 2020,0.9,Alcohol and tobacco,0.06
2,Oct 2020,0.9,Clothing and footwear,0.0
3,Oct 2020,0.9,Housing and household services,0.16
4,Oct 2020,0.9,Furniture and household goods,0.02
5,Oct 2020,0.9,Transport,0.16
6,Oct 2020,0.9,Recreation and culture,0.26
7,Oct 2020,0.9,Restaurants and hotels,-0.05
8,Oct 2020,0.9,Other goods and services,0.22
9,Nov 2020,0.6,Food and non-alcoholic beverages,-0.03
10,Nov 2020,0.6,Alcohol and tobacco,0.06
11,Nov 2020,0.6,Clothing and footwear,-0.19
12,Nov 2020,0.6,Housing and household services,0.15
13,Nov 2020,0.6,Furniture and household goods,0.0
14,Nov 2020,0.6,Transport,0.12
15,Nov 2020,0.6,Recreation and culture,0.24
16,Nov 2020,0.6,Restaurants and hotels,0.04
17,Nov 2020,0.6,Other goods and services,0.19
18,Dec 2020,0.8,Food and non-alcoholic beverages,-0.11
19,Dec 2020,0.8,Alcohol and tobacco,0.11
20,Dec 2020,0.8,Clothing and footwear,-0.09
21,Dec 2020,0.8,Housing and household services,0.18
22,Dec 2020,0.8,Furniture and household goods,-0.03
23,Dec 2020,0.8,Transport,0.23
24,Dec 2020,0.8,Recreation and culture,0.35
25,Dec 2020,0.8,Restaurants and hotels,0.01
26,Dec 2020,0.8,Other goods and services,0.17
27,Jan 2021,0.9,Food and non-alcoholic beverages,-0.05
28,Jan 2021,0.9,Alcohol and tobacco,0.11
29,Jan 2021,0.9,Clothing and footwear,-0.22
30,Jan 2021,0.9,Housing and household services,0.19
31,Jan 2021,0.9,Furniture and household goods,0.05
32,Jan 2021,0.9,Transport,0.27
33,Jan 2021,0.9,Recreation and culture,0.35
34,Jan 2021,0.9,Restaurants and hotels,0.08
35,Jan 2021,0.9,Other goods and services,0.15
36,Feb 2021,0.7,Food and non-alcoholic beverages,-0.04
37,Feb 2021,0.7,Alcohol and tobacco,0.1
38,Feb 2021,0.7,Clothing and footwear,-0.35
39,Feb 2021,0.7,Housing and household services,0.24
40,Feb 2021,0.7,Furniture and household goods,0.04
41,Feb 2021,0.7,Transport,0.3
42,Feb 2021,0.7,Recreation and culture,0.29
43,Feb 2021,0.7,Restaurants and hotels,0.05
44,Feb 2021,0.7,Other goods and services,0.1
45,Mar 2021,1.0,Food and non-alcoholic beverages,-0.11
46,Mar 2021,1.0,Alcohol and tobacco,0.08
47,Mar 2021,1.0,Clothing and footwear,-0.24
48,Mar 2021,1.0,Housing and household services,0.24
49,Mar 2021,1.0,Furniture and household goods,0.08
50,Mar 2021,1.0,Transport,0.44
51,Mar 2021,1.0,Recreation and culture,0.3
52,Mar 2021,1.0,Restaurants and hotels,0.06
53,Mar 2021,1.0,Other goods and services,0.11
54,Apr 2021,1.6,Food and non-alcoholic beverages,-0.03
55,Apr 2021,1.6,Alcohol and tobacco,0.08
56,Apr 2021,1.6,Clothing and footwear,-0.02
57,Apr 2021,1.6,Housing and household services,0.57
58,Apr 2021,1.6,Furniture and household goods,0.14
59,Apr 2021,1.6,Transport,0.56
60,Apr 2021,1.6,Recreation and culture,0.12
61,Apr 2021,1.6,Restaurants and hotels,0.04
62,Apr 2021,1.6,Other goods and services,0.18
63,May 2021,2.1,Food and non-alcoholic beverages,-0.1
64,May 2021,2.1,Alcohol and tobacco,0.06
65,May 2021,2.1,Clothing and footwear,0.11
66,May 2021,2.1,Housing and household services,0.6
67,May 2021,2.1,Furniture and household goods,0.14
68,May 2021,2.1,Transport,0.72
69,May 2021,2.1,Recreation and culture,0.26
70,May 2021,2.1,Restaurants and hotels,0.09
71,May 2021,2.1,Other goods and services,0.24
72,Jun 2021,2.4,Food and non-alcoholic beverages,-0.04
73,Jun 2021,2.4,Alcohol and tobacco,0.09
74,Jun 2021,2.4,Clothing and footwear,0.16
75,Jun 2021,2.4,Housing and household services,0.63
76,Jun 2021,2.4,Furniture and household goods,0.17
77,Jun 2021,2.4,Transport,0.8
78,Jun 2021,2.4,Recreation and culture,0.27
79,Jun 2021,2.4,Restaurants and hotels,0.14
80,Jun 2021,2.4,Other goods and services,0.23
81,Jul 2021,2.1,Food and non-alcoholic beverages,-0.04
82,Jul 2021,2.1,Alcohol and tobacco,0.06
83,Jul 2021,2.1,Clothing and footwear,0.07
84,Jul 2021,2.1,Housing and household services,0.63
85,Jul 2021,2.1,Furniture and household goods,0.15
86,Jul 2021,2.1,Transport,0.85
87,Jul 2021,2.1,Recreation and culture,0.09
88,Jul 2021,2.1,Restaurants and hotels,0.1
89,Jul 2021,2.1,Other goods and services,0.18
90,Aug 2021,3.0,Food and non-alcoholic beverages,0.05
91,Aug 2021,3.0,Alcohol and tobacco,0.09
92,Aug 2021,3.0,Clothing and footwear,0.06
93,Aug 2021,3.0,Housing and household services,0.65
94,Aug 2021,3.0,Furniture and household goods,0.19
95,Aug 2021,3.0,Transport,0.87
96,Aug 2021,3.0,Recreation and culture,0.28
97,Aug 2021,3.0,Restaurants and hotels,0.65
98,Aug 2021,3.0,Other goods and services,0.19
99,Sep 2021,2.9,Food and non-alcoholic beverages,0.08
100,Sep 2021,2.9,Alcohol and tobacco,0.1
101,Sep 2021,2.9,Clothing and footwear,0.04
102,Sep 2021,2.9,Housing and household services,0.69
103,Sep 2021,2.9,Furniture and household goods,0.23
104,Sep 2021,2.9,Transport,0.91
105,Sep 2021,2.9,Recreation and culture,0.31
106,Sep 2021,2.9,Restaurants and hotels,0.34
107,Sep 2021,2.9,Other goods and services,0.22
108,Oct 2021,3.8,Food and non-alcoholic beverages,0.12
109,Oct 2021,3.8,Alcohol and tobacco,0.07
110,Oct 2021,3.8,Clothing and footwear,0.01
111,Oct 2021,3.8,Housing and household services,1.23
112,Oct 2021,3.8,Furniture and household goods,0.28
113,Oct 2021,3.8,Transport,1.08
114,Oct 2021,3.8,Recreation and culture,0.29
115,Oct 2021,3.8,Restaurants and hotels,0.43
116,Oct 2021,3.8,Other goods and services,0.31
117,Nov 2021,4.6,Food and non-alcoholic beverages,0.23
118,Nov 2021,4.6,Alcohol and tobacco,0.17
119,Nov 2021,4.6,Clothing and footwear,0.22
120,Nov 2021,4.6,Housing and household services,1.28
121,Nov 2021,4.6,Furniture and household goods,0.31
122,Nov 2021,4.6,Transport,1.34
123,Nov 2021,4.6,Recreation and culture,0.38
124,Nov 2021,4.6,Restaurants and hotels,0.34
125,Nov 2021,4.6,Other goods and services,0.31
126,Dec 2021,4.8,Food and non-alcoholic beverages,0.37
