,Date,Type,Value
0,Oct 2020,Food and non-alcoholic beverages,0.05
1,Oct 2020,Alcohol and tobacco,0.06
2,Oct 2020,Clothing and footwear,0.0
3,Oct 2020,Housing and household services,0.16
4,Oct 2020,Furniture and household goods,0.02
5,Oct 2020,Transport,0.16
6,Oct 2020,Recreation and culture,0.26
7,Oct 2020,Restaurants and hotels,-0.05
8,Oct 2020,Other goods and services,0.22
9,Oct 2020,CPIH 12-month inflation rate,0.9
10,Nov 2020,Food and non-alcoholic beverages,-0.03
11,Nov 2020,Alcohol and tobacco,0.06
12,Nov 2020,Clothing and footwear,-0.19
13,Nov 2020,Housing and household services,0.15
14,Nov 2020,Furniture and household goods,0.0
15,Nov 2020,Transport,0.12
16,Nov 2020,Recreation and culture,0.24
17,Nov 2020,Restaurants and hotels,0.04
18,Nov 2020,Other goods and services,0.19
19,Nov 2020,CPIH 12-month inflation rate,0.6
20,Dec 2020,Food and non-alcoholic beverages,-0.11
21,Dec 2020,Alcohol and tobacco,0.11
22,Dec 2020,Clothing and footwear,-0.09
23,Dec 2020,Housing and household services,0.18
24,Dec 2020,Furniture and household goods,-0.03
25,Dec 2020,Transport,0.23
26,Dec 2020,Recreation and culture,0.35
27,Dec 2020,Restaurants and hotels,0.01
28,Dec 2020,Other goods and services,0.17
29,Dec 2020,CPIH 12-month inflation rate,0.8
30,Jan 2021,Food and non-alcoholic beverages,-0.05
31,Jan 2021,Alcohol and tobacco,0.11
32,Jan 2021,Clothing and footwear,-0.22
33,Jan 2021,Housing and household services,0.19
34,Jan 2021,Furniture and household goods,0.05
35,Jan 2021,Transport,0.27
36,Jan 2021,Recreation and culture,0.35
37,Jan 2021,Restaurants and hotels,0.08
38,Jan 2021,Other goods and services,0.15
39,Jan 2021,CPIH 12-month inflation rate,0.9
40,Feb 2021,Food and non-alcoholic beverages,-0.04
41,Feb 2021,Alcohol and tobacco,0.1
42,Feb 2021,Clothing and footwear,-0.35
43,Feb 2021,Housing and household services,0.24
