Date,Type,Value,Price
01/01/1980,Private Enterprise,27730,
01/01/1980,Housing Associations,4550,
01/01/1980,Local Authorities,17320,
01/01/1980,All,49600,18377
01/04/1980,Private Enterprise,26250,
01/04/1980,Housing Associations,4950,
01/04/1980,Local Authorities,18200,
01/04/1980,All,49400,19132
01/07/1980,Private Enterprise,27050,
01/07/1980,Housing Associations,4640,
01/07/1980,Local Authorities,19560,
01/07/1980,All,51250,19732
01/10/1980,Private Enterprise,27620,
01/10/1980,Housing Associations,4650,
01/10/1980,Local Authorities,20090,
01/10/1980,All,52360,19926
01/01/1981,Private Enterprise,24900,
01/01/1981,Housing Associations,5260,
01/01/1981,Local Authorities,15920,
01/01/1981,All,46070,19965
01/04/1981,Private Enterprise,21820,
01/04/1981,Housing Associations,4120,
01/04/1981,Local Authorities,14430,
01/04/1981,All,40370,20487
01/07/1981,Private Enterprise,24110,
01/07/1981,Housing Associations,3740,
01/07/1981,Local Authorities,13030,
01/07/1981,All,40880,20758
01/10/1981,Private Enterprise,26070,
01/10/1981,Housing Associations,3540,
01/10/1981,Local Authorities,11490,
01/10/1981,All,41100,20410
01/01/1982,Private Enterprise,23610,
01/01/1982,Housing Associations,3360,
01/01/1982,Local Authorities,8710,
01/01/1982,All,35670,19848
01/04/1982,Private Enterprise,23990,
01/04/1982,Housing Associations,1790,
01/04/1982,Local Authorities,7830,
01/04/1982,All,33610,20681
01/07/1982,Private Enterprise,25900,
01/07/1982,Housing Associations,2310,
01/07/1982,Local Authorities,7580,
01/07/1982,All,35790,21223
01/10/1982,Private Enterprise,31300,
01/10/1982,Housing Associations,2990,
01/10/1982,Local Authorities,7310,
01/10/1982,All,41600,21514
01/01/1983,Private Enterprise,26890,
01/01/1983,Housing Associations,2640,
01/01/1983,Local Authorities,6470,
01/01/1983,All,35990,22269
01/04/1983,Private Enterprise,31050,
01/04/1983,Housing Associations,3600,
01/04/1983,Local Authorities,7070,
01/04/1983,All,41710,22850
01/07/1983,Private Enterprise,30470,
01/07/1983,Housing Associations,3090,
01/07/1983,Local Authorities,8060,
01/07/1983,All,41610,23818
01/10/1983,Private Enterprise,36230,
01/10/1983,Housing Associations,4040,
01/10/1983,Local Authorities,8230,
01/10/1983,All,48500,24012
01/01/1984,Private Enterprise,32940,
01/01/1984,Housing Associations,3500,
01/01/1984,Local Authorities,6060,
01/01/1984,All,42500,24399
01/04/1984,Private Enterprise,30010,
01/04/1984,Housing Associations,3300,
01/04/1984,Local Authorities,7570,
01/04/1984,All,40880,25174
01/07/1984,Private Enterprise,33050,
01/07/1984,Housing Associations,3280,
01/07/1984,Local Authorities,7760,
01/07/1984,All,44080,26142
01/10/1984,Private Enterprise,36720,
01/10/1984,Housing Associations,3460,
01/10/1984,Local Authorities,7750,
01/10/1984,All,47930,26529
01/01/1985,Private Enterprise,30930,
01/01/1985,Housing Associations,2920,
01/01/1985,Local Authorities,5530,
01/01/1985,All,39370,26529
01/04/1985,Private Enterprise,31420,
01/04/1985,Housing Associations,2730,
01/04/1985,Local Authorities,6170,
01/04/1985,All,40320,27497
01/07/1985,Private Enterprise,31190,
01/07/1985,Housing Associations,2390,
01/07/1985,Local Authorities,5750,
01/07/1985,All,39340,28272
01/10/1985,Private Enterprise,36460,
01/10/1985,Housing Associations,2800,
01/10/1985,Local Authorities,5820,
01/10/1985,All,45070,29046
01/01/1986,Private Enterprise,30410,
01/01/1986,Housing Associations,2350,
01/01/1986,Local Authorities,3990,
01/01/1986,All,36750,29821
01/04/1986,Private Enterprise,34050,
01/04/1986,Housing Associations,2650,
01/04/1986,Local Authorities,5140,
01/04/1986,All,41840,31176
01/07/1986,Private Enterprise,34750,
01/07/1986,Housing Associations,2080,
01/07/1986,Local Authorities,4600,
01/07/1986,All,41430,32726
01/10/1986,Private Enterprise,41860,
01/10/1986,Housing Associations,3020,
01/10/1986,Local Authorities,5450,
01/10/1986,All,50340,33887
01/01/1987,Private Enterprise,35580,
01/01/1987,Housing Associations,2000,
01/01/1987,Local Authorities,3780,
01/01/1987,All,41360,34856
01/04/1987,Private Enterprise,36370,
01/04/1987,Housing Associations,2880,
01/04/1987,Local Authorities,4080,
01/04/1987,All,43220,36598
01/07/1987,Private Enterprise,37020,
01/07/1987,Housing Associations,2550,
01/07/1987,Local Authorities,4260,
01/07/1987,All,43820,38341
01/10/1987,Private Enterprise,42890,
01/10/1987,Housing Associations,2510,
01/10/1987,Local Authorities,4490,
01/10/1987,All,49890,40767
01/01/1988,Private Enterprise,41120,
01/01/1988,Housing Associations,2420,
01/01/1988,Local Authorities,3280,
01/01/1988,All,46820,42721
01/04/1988,Private Enterprise,40130,
01/04/1988,Housing Associations,2480,
01/04/1988,Local Authorities,4390,
01/04/1988,All,47000,45234
01/07/1988,Private Enterprise,43160,
01/07/1988,Housing Associations,2130,
01/07/1988,Local Authorities,4500,
01/07/1988,All,49790,51657
01/10/1988,Private Enterprise,43380,
01/10/1988,Housing Associations,2830,
01/10/1988,Local Authorities,3990,
01/10/1988,All,50200,54728
01/01/1989,Private Enterprise,39190,
01/01/1989,Housing Associations,2400,
01/01/1989,Local Authorities,3160,
01/01/1989,All,44750,55845
