Date,Average Price,Volume,Region
Jan-95,45545,3990,East Midlands
Feb-95,46052,4211,East Midlands
Mar-95,45384,5840,East Midlands
Apr-95,46124,4892,East Midlands
May-95,45878,5377,East Midlands
Jun-95,45680,6283,East Midlands
Jul-95,46038,5359,East Midlands
Aug-95,45923,5656,East Midlands
Sept-95,45772,5654,East Midlands
Oct-95,45155,5163,East Midlands
Nov-95,44967,5463,East Midlands
Dec-95,45649,6006,East Midlands
Jan-96,44619,3927,East Midlands
Feb-96,44506,4278,East Midlands
Mar-96,45190,5878,East Midlands
Apr-96,45704,5358,East Midlands
May-96,45728,6738,East Midlands
Jun-96,46149,6477,East Midlands
Jul-96,46577,7115,East Midlands
Aug-96,47067,7657,East Midlands
Sept-96,46938,6549,East Midlands
Oct-96,46520,6964,East Midlands
Nov-96,47287,7896,East Midlands
Dec-96,47642,7206,East Midlands
Jan-97,46775,5315,East Midlands
Feb-97,47346,5338,East Midlands
Mar-97,47721,6506,East Midlands
Apr-97,48694,6275,East Midlands
May-97,49019,7939,East Midlands
Jun-97,48966,8167,East Midlands
Jul-97,50205,8297,East Midlands
Aug-97,50607,8282,East Midlands
Sept-97,50400,7486,East Midlands
Oct-97,50159,7983,East Midlands
Nov-97,50805,6805,East Midlands
Dec-97,50342,7166,East Midlands
Jan-98,50771,4941,East Midlands
Feb-98,50386,5219,East Midlands
Mar-98,50540,6516,East Midlands
Apr-98,51973,6658,East Midlands
May-98,52334,7532,East Midlands
Jun-98,52423,7671,East Midlands
Jul-98,52959,8613,East Midlands
Aug-98,53435,7502,East Midlands
Sept-98,53101,6962,East Midlands
Oct-98,52902,7609,East Midlands
Nov-98,52671,7178,East Midlands
Dec-98,53106,7522,East Midlands
Jan-99,53062,4928,East Midlands
Feb-99,52648,5227,East Midlands
Mar-99,53555,7191,East Midlands
Apr-99,55438,7866,East Midlands
May-99,54991,7922,East Midlands
Jun-99,55273,8327,East Midlands
Jul-99,56563,10032,East Midlands
Aug-99,57137,9020,East Midlands
Sept-99,57223,8505,East Midlands
Oct-99,57459,9313,East Midlands
Nov-99,58296,8848,East Midlands
Dec-99,58360,8818,East Midlands
Jan-00,58080,5721,East Midlands
Feb-00,58575,6261,East Midlands
Mar-00,59228,8474,East Midlands
Apr-00,60889,7878,East Midlands
May-00,61430,8361,East Midlands
Jun-00,62425,9862,East Midlands
Jul-00,63474,8508,East Midlands
Aug-00,64055,8372,East Midlands
Sept-00,64880,8209,East Midlands
Oct-00,63967,7481,East Midlands
Nov-00,64608,7459,East Midlands
Dec-00,65237,8249,East Midlands
Jan-01,65725,5592,East Midlands
Feb-01,65598,5943,East Midlands
Mar-01,65928,8005,East Midlands
Apr-01,67974,7885,East Midlands
May-01,69038,8894,East Midlands
Jun-01,70033,10185,East Midlands
Jul-01,70796,10046,East Midlands
Aug-01,72186,11282,East Midlands
Sept-01,72637,8922,East Midlands
Oct-01,73333,9727,East Midlands
Nov-01,74391,10202,East Midlands
Dec-01,75378,8767,East Midlands
Jan-02,75280,6356,East Midlands
Feb-02,76450,6914,East Midlands
Mar-02,78292,9778,East Midlands
Apr-02,80083,9215,East Midlands
May-02,82643,12191,East Midlands
Jun-02,84539,9445,East Midlands
Jul-02,88192,10879,East Midlands
Aug-02,91058,11055,East Midlands
Sept-02,91480,8991,East Midlands
Oct-02,93898,9320,East Midlands
Nov-02,96949,10088,East Midlands
Dec-02,98179,9098,East Midlands
Jan-03,100132,6889,East Midlands
Feb-03,102378,6930,East Midlands
Mar-03,101518,7381,East Midlands
Apr-03,106466,7506,East Midlands
May-03,108677,8273,East Midlands
Jun-03,109587,8773,East Midlands
Jul-03,111648,9126,East Midlands
Aug-03,114593,9809,East Midlands
Sept-03,114575,9234,East Midlands
Oct-03,116408,10458,East Midlands
Nov-03,117723,9623,East Midlands
Dec-03,118022,10239,East Midlands
Jan-04,119411,7314,East Midlands
Feb-04,120237,7473,East Midlands
Mar-04,121241,8770,East Midlands
