Date,hp_growth,rtp_growth,rrp_growth
2002 Q1,6.142450995,3.3,3.2
2002 Q2,11.95192522,3.2,3.4
2002 Q3,15.43910434,2.9,3.4
2002 Q4,19.16485467,3,3.3
2003 Q1,17.81120039,3,3.3
2003 Q2,12.77852883,2.7,3.2
2003 Q3,19.56795905,2.3,3
2003 Q4,23.78732246,1.6,3
2004 Q1,26.3381472,1.4,3
2004 Q2,24.89722816,1.3,2.9
2004 Q3,16.66533022,1.8,2.8
2004 Q4,11.78583462,2.1,2.9
2005 Q1,9.628954347,2.4,2.9
2005 Q2,7.183505713,2.2,2.5
2005 Q3,5.240590254,2,2.1
2005 Q4,1.693784076,1.6,1.8
2006 Q1,4.442368543,1.4,1.7
2006 Q2,5.072372164,1.1,1.4
2006 Q3,7.52420234,1,1.5
2006 Q4,12.37297824,0.8,1.6
2007 Q1,12.37869725,1.3,1.5
2007 Q2,9.645983096,1.5,1.4
2007 Q3,8.41260653,1.8,1.5
2007 Q4,6.206642404,1.4,1.8
2008 Q1,4.490597366,1.4,1.8
2008 Q2,4.402974011,1.5,1.9
2008 Q3,0.631464196,1.9,2.1
2008 Q4,-1.515399029,2.3,2.3
2009 Q1,-4.46796341,2.4,2.3
2009 Q2,-5.528073985,2.6,2.6
2009 Q3,1.249243045,2.6,2.4
2009 Q4,5.876488766,2.6,2.2
2010 Q1,16.78254721,2.6,2
2010 Q2,15.5061165,2.7,2.2
2010 Q3,9.165406276,2.8,2.3
2010 Q4,3.787885068,2.8,2.2
2011 Q1,-3.641484719,2.8,2.1
2011 Q2,-3.572349649,2.9,2.3
2011 Q3,-1.414041611,3,2.4
2011 Q4,-0.673249449,3.1,2.5
2012 Q1,-1.965764647,3.1,2.4
2012 Q2,1.607282888,3.1,2.4
2012 Q3,-0.220197075,3.1,2.3
2012 Q4,1.794787303,3.3,2.5
2013 Q1,1.69104678,3,2.5
2013 Q2,0.156812903,2.8,2.4
2013 Q3,2.510930682,2.3,2.3
2013 Q4,3.297631345,2.3,2.2
2014 Q1,6.972029031,2.4,2.2
2014 Q2,8.116788803,2.5,2.1
2014 Q3,6.721202609,2.4,2
2014 Q4,4.372526913,2.3,1.9
2015 Q1,3.676507325,2.2,1.9
2015 Q2,0.93302071,2.1,1.8
2015 Q3,3.788039923,2,1.8
2015 Q4,5.689038051,2.5,1.8
2016 Q1,8.625852276,2.8,1.8
2016 Q2,0.442063831,3.1,1.7
2016 Q3,-0.776565226,2.6,1.6
2016 Q4,0.567074162,2.5,1.5
2017 Q1,-6.177468772,2.3,1.4
2017 Q2,4.179780303,2,1.1
2017 Q3,0.766904057,1.5,0.9
2017 Q4,-1.452631718,1.4,1
2018 Q1,2.263196185,1.6,1.2
2018 Q2,0.011108728,2,1.3
2018 Q3,0.450512644,2.6,1.2
2018 Q4,0.745541851,3.6,1.1
2019 Q1,-1.993061018,3.1,1.1
2019 Q2,-1.200191488,2.4,1.1
2019 Q3,-0.413945781,1.6,1.3
2019 Q4,2.85070209,1.9,1.5
2020 Q1,5.455795189,2.2,2
2020 Q2,1.902129264,2.6,2.4
2020 Q3,9.476617145,3.1,2.7
2020 Q4,12.74669733,2.9,2.4
2021 Q1,18.75841815,2.6,2
2021 Q2,21.91362123,1.7,1.7
2021 Q3,-6.43170792,1.5,1.7
2021 Q4,-4.48206233,1.3,1.6
2022 Q1,-4.450615532,1.8,1.6
2022 Q2,-2.125981495,1.7,1.6
2022 Q3,19.70429395,1.5,1.2
