Country,Year,Average Price,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2000,51379,,,,,,,,,
Scotland,2000,51379,,,,,,,,,
Scotland,2000,51379,,,,,,,,,
Scotland,2000,51711,,,,,,,,,
Scotland,2000,51711,,,,,,,,,
Scotland,2000,51711,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2000,51628,,,,,,,,,
Scotland,2001,54122,,,,,,,,,
Scotland,2001,54122,,,,,,,,,
Scotland,2001,54122,,,,,,,,,
Scotland,2001,52751,,,,,,,,,
Scotland,2001,52751,,,,,,,,,
Scotland,2001,52751,,,,,,,,,
Scotland,2001,54247,,,,,,,,,
Scotland,2001,54247,,,,,,,,,
Scotland,2001,54247,,,,,,,,,
Scotland,2001,54663,,,,,,,,,
Scotland,2001,54663,,,,,,,,,
Scotland,2001,54663,,,,,,,,,
Scotland,2002,53649,,,,,,,,,
Scotland,2002,55827,,,,,,,,,
Scotland,2002,58004,,,,,,,,,
Scotland,2002,58841,,,,,,,,,
Scotland,2002,60460,,,,,,,,,
Scotland,2002,62861,,,,,,,,,
Scotland,2002,63028,,,,,,,,,
Scotland,2002,63196,,,,,,,,,
Scotland,2002,64536,,,,,,,,,
Scotland,2002,63921,,,,,,,,,
Scotland,2002,64424,,,,,,,,,
Scotland,2002,66769,,,,,,,,,
Scotland,2003,64647,,,,,,,,,
Scotland,2003,60181,,,,,,,,,
Scotland,2003,63698,,,,,,,,,
Scotland,2003,67494,,,,,,,,,
Scotland,2003,67550,,,,,,,,,
Scotland,2003,68611,,,,,,,,,
Scotland,2003,71067,,,,,,,,,
Scotland,2003,73077,,,,,,,,,
Scotland,2003,72854,,,,,,,,,
Scotland,2003,75812,,,,,,,,,
Scotland,2003,74808,,,,,,,,,
Scotland,2003,77097,,,,,,,,,
Scotland,2004,79665,,,,,,,,,
Scotland,2004,78608,,,,,,,,,
Scotland,2004,81490,,,,,,,,,
Scotland,2004,86898,,,,,,,,,
Scotland,2004,88345,,,,,,,,,
Scotland,2004,92640,,,,,,,,,
Scotland,2004,94862,,,,,,,,,
Scotland,2004,94845,,,,,,,,,
Scotland,2004,93354,,,,,,,,,
Scotland,2004,95096,,,,,,,,,
Scotland,2004,94700,,,,,,,,,
Scotland,2004,96976,,,,,,,,,
Scotland,2005,93982,,,,,,,,,
Scotland,2005,93554,,,,,,,,,
Scotland,2005,96638,,,,,,,,,
Scotland,2005,102739,,,,,,,,,
Scotland,2005,103815,,,,,,,,,
Scotland,2005,107989,,,,,,,,,
Scotland,2005,110003,,,,,,,,,
Scotland,2005,110101,,,,,,,,,
Scotland,2005,110188,,,,,,,,,
Scotland,2005,109598,,,,,,,,,
Scotland,2005,108994,,,,,,,,,
Scotland,2005,110714,,,,,,,,,
Scotland,2006,109380,,,,,,,,,
Scotland,2006,107355,,,,,,,,,
Scotland,2006,111484,,,,,,,,,
Scotland,2006,116209,,,,,,,,,
Scotland,2006,118876,,,,,,,,,
Scotland,2006,120454,,,,,,,,,
Scotland,2006,122702,,,,,,,,,
Scotland,2006,124427,,,,,,,,,
Scotland,2006,126392,,,,,,,,,
Scotland,2006,123482,,,,,,,,,
Scotland,2006,125396,,,,,,,,,
Scotland,2006,127707,,,,,,,,,
Scotland,2007,126699,,,,,,,,,
Scotland,2007,124280,,,,,,,,,
Scotland,2007,129092,,,,,,,,,
Scotland,2007,135581,,,,,,,,,
Scotland,2007,138765,,,,,,,,,
Scotland,2007,141897,,,,,,,,,
Scotland,2007,141815,,,,,,,,,
Scotland,2007,143287,,,,,,,,,
Scotland,2007,142294,,,,,,,,,
Scotland,2007,139547,,,,,,,,,
Scotland,2007,141524,,,,,,,,,
Scotland,2007,139736,,,,,,,,,
Scotland,2008,138388,,,,,,,,,
Scotland,2008,137508,,,,,,,,,
Scotland,2008,137848,,,,,,,,,
Scotland,2008,139328,,,,,,,,,
Scotland,2008,145641,,,,,,,,,
Scotland,2008,141555,,,,,,,,,
Scotland,2008,139710,,,,,,,,,
Scotland,2008,137784,,,,,,,,,
Scotland,2008,132420,,,,,,,,,
Scotland,2008,133839,,,,,,,,,
Scotland,2008,129820,,,,,,,,,
Scotland,2008,125767,,,,,,,,,
Scotland,2009,124484,,,,,,,,,
Scotland,2009,120994,,,,,,,,,
Scotland,2009,125727,,,,,,,,,
Scotland,2009,126975,,,,,,,,,
Scotland,2009,130699,,,,,,,,,
Scotland,2009,132049,,,,,,,,,
Scotland,2009,133126,,,,,,,,,
Scotland,2009,132658,,,,,,,,,
Scotland,2009,131727,,,,,,,,,
Scotland,2009,132914,,,,,,,,,
Scotland,2009,134183,,,,,,,,,
Scotland,2009,133037,,,,,,,,,
Scotland,2010,128973,,,,,,,,,
Scotland,2010,126524,,,,,,,,,
Scotland,2010,128897,,,,,,,,,
