Date,hp_growth,rtp_growth,rrp_growth
2002 Q1,.06142,.033,.032
2002 Q2,.11952,.032,.034
2002 Q3,.15439,.029,.034
2002 Q4,.19165,.030,.033
2003 Q1,.17811,.030,.033
2003 Q2,.12779,.027,.032
2003 Q3,.19568,.023,.030
2003 Q4,.23787,.016,.030
2004 Q1,.26338,.014,.030
2004 Q2,.24897,.013,.029
2004 Q3,.16665,.018,.028
2004 Q4,.11786,.021,.029
2005 Q1,.09629,.024,.029
2005 Q2,.07184,.022,.025
2005 Q3,.05241,.020,.021
2005 Q4,.01694,.016,.018
2006 Q1,.04442,.014,.017
2006 Q2,.05072,.011,.014
2006 Q3,.07524,.010,.015
2006 Q4,.12373,.008,.016
2007 Q1,.12379,.013,.015
2007 Q2,.09646,.015,.014
2007 Q3,.08413,.018,.015
2007 Q4,.06207,.014,.018
2008 Q1,.04491,.014,.018
2008 Q2,.04403,.015,.019
2008 Q3,.00631,.019,.021
2008 Q4,-.01515,.023,.023
2009 Q1,-.04468,.024,.023
2009 Q2,-.05528,.026,.026
2009 Q3,.01249,.026,.024
2009 Q4,.05876,.026,.022
2010 Q1,.16783,.026,.020
2010 Q2,.15506,.027,.022
2010 Q3,.09165,.028,.023
2010 Q4,.03788,.028,.022
2011 Q1,-.03641,.028,.021
2011 Q2,-.03572,.029,.023
2011 Q3,-.01414,.030,.024
2011 Q4,-.00673,.031,.025
2012 Q1,-.01966,.031,.024
2012 Q2,.01607,.031,.024
2012 Q3,-.00220,.031,.023
2012 Q4,.01795,.033,.025
2013 Q1,.01691,.030,.025
2013 Q2,.00157,.028,.024
2013 Q3,.02511,.023,.023
2013 Q4,.03298,.023,.022
2014 Q1,.06972,.024,.022
2014 Q2,.08117,.025,.021
2014 Q3,.06721,.024,.020
2014 Q4,.04373,.023,.019
2015 Q1,.03677,.022,.019
2015 Q2,.00933,.021,.018
2015 Q3,.03788,.020,.018
2015 Q4,.05689,.025,.018
2016 Q1,.08626,.028,.018
2016 Q2,.00442,.031,.017
2016 Q3,-.00777,.026,.016
2016 Q4,.00567,.025,.015
2017 Q1,-.06177,.023,.014
2017 Q2,.04180,.020,.011
2017 Q3,.00767,.015,.009
2017 Q4,-.01453,.014,.010
2018 Q1,.02263,.016,.012
2018 Q2,.00011,.020,.013
2018 Q3,.00451,.026,.012
2018 Q4,.00746,.036,.011
2019 Q1,-.01993,.031,.011
2019 Q2,-.01200,.024,.011
2019 Q3,-.00414,.016,.013
2019 Q4,.02851,.019,.015
2020 Q1,.05456,.022,.020
2020 Q2,.01902,.026,.024
2020 Q3,.09477,.031,.027
2020 Q4,.12747,.029,.024
2021 Q1,.18758,.026,.020
2021 Q2,.21914,.017,.017
2021 Q3,-.06432,.015,.017
2021 Q4,-.04482,.013,.016
2022 Q1,-.04451,.018,.016
2022 Q2,-.02126,.017,.016
2022 Q3,.19704,.015,.012
