Year,Date,house_price_change,mortgage_rate_change,Period
1998-01,Jan 98,0.55,-17.58917589,Normal
1998-02,Feb 98,-0.39,-20.64439141,Normal
1998-03,Mar 98,0.96,-19.67821782,Normal
1998-04,Apr 98,2.27,-20.14475271,Normal
1998-05,May 98,0.96,-14.72019465,Normal
1998-06,Jun 98,0.56,-11.08312343,Normal
1998-07,Jul 98,1.3,-9.759188847,Normal
1998-08,Aug 98,0.41,-11.2640801,Normal
1998-09,Sep 98,-0.21,-11.63954944,Normal
1998-10,Oct 98,-0.22,-12.89111389,Normal
1998-11,Nov 98,-0.15,-13.14142678,Normal
1998-12,Dec 98,0.32,-9.386733417,Normal
1999-01,Jan 99,0.29,8.805970149,Normal
1999-02,Feb 99,-0.37,10.52631579,Normal
1999-03,Mar 99,1.31,9.553158706,Normal
1999-04,Apr 99,1.91,9.365558912,Normal
1999-05,May 99,1.11,1.997146933,Normal
1999-06,Jun 99,1.5,1.133144476,Normal
1999-07,Jul 99,1.71,1.123595506,Normal
1999-08,Aug 99,1.54,1.128349788,Normal
1999-09,Sep 99,1.56,0,Normal
1999-10,Oct 99,0.63,1.58045977,Normal
1999-11,Nov 99,1.31,1.44092219,Normal
1999-12,Dec 99,1.13,-1.519337017,Normal
2000-01,Jan 00,0.2,-2.19478738,Normal
2000-02,Feb 00,0.55,-3.673469388,Normal
2000-03,Mar 00,1.83,-1.265822785,Normal
2000-04,Apr 00,3.4,-1.38121547,Normal
2000-05,May 00,0.89,-0.41958042,Normal
2000-06,Jun 00,1.15,-2.801120448,Normal
2000-07,Jul 00,1.59,-1.666666667,Normal
2000-08,Aug 00,1.14,2.231520223,Normal
2000-09,Sep 00,0.1,2.974504249,Normal
2000-10,Oct 00,-0.39,-2.263083451,Normal
2000-11,Nov 00,0.34,-5.397727273,Normal
2000-12,Dec 00,0.77,-9.957924264,Normal
2001-01,Jan 01,0.22,-17.25105189,Normal
2001-02,Feb 01,-0.16,-18.36158192,Normal
2001-03,Mar 01,1.18,-19.65811966,Normal
2001-04,Apr 01,2.58,-20.0280112,Normal
2001-05,May 01,1.46,-19.66292135,Normal
2001-06,Jun 01,1.42,-15.129683,Normal
2001-07,Jul 01,1.61,-15.25423729,Normal
2001-08,Aug 01,2.08,-15.55252387,Normal
2001-09,Sep 01,0.38,-14.44291609,Normal
2001-10,Oct 01,0.51,-5.933429812,Normal
2001-11,Nov 01,0.98,-0.900900901,Normal
2001-12,Dec 01,0.96,1.557632399,Normal
2002-01,Jan 02,0.23,14.91525424,Normal
2002-02,Feb 02,0.48,17.47404844,Normal
2002-03,Mar 02,2.36,14.36170213,Normal
2002-04,Apr 02,2.42,10.50788091,Normal
2002-05,May 02,3.06,11.71328671,Normal
2002-06,Jun 02,2.25,9.677419355,Normal
2002-07,Jul 02,2.99,6.166666667,Normal
