,Country,Medal Type,Value
0,USA,Gold,46
1,USA,Silver,29
2,USA,Bronze,29
3,USA,Total,104
4,CHN,Gold,38
5,CHN,Silver,27
6,CHN,Bronze,23
7,CHN,Total,88
8,RUS,Gold,24
9,RUS,Silver,26
10,RUS,Bronze,32
11,RUS,Total,82
12,GBR,Gold,29
13,GBR,Silver,17
14,GBR,Bronze,19
15,GBR,Total,65
16,GER,Gold,11
17,GER,Silver,19
18,GER,Bronze,14
19,GER,Total,44
20,JPN,Gold,7
21,JPN,Silver,14
22,JPN,Bronze,17
23,JPN,Total,38
24,AUS,Gold,7
25,AUS,Silver,16
26,AUS,Bronze,12
27,AUS,Total,35
28,FRA,Gold,11
29,FRA,Silver,11
30,FRA,Bronze,12
31,FRA,Total,34
32,KOR,Gold,13
33,KOR,Silver,8
34,KOR,Bronze,7
35,KOR,Total,28
36,ITA,Gold,8
37,ITA,Silver,9
38,ITA,Bronze,11
39,ITA,Total,28
