Date,Mortgage Rate,house_price_change,mortgage_rate_change,Period,House Price
31-Jan-95,8.13,0.55,-17.58917589,Normal,53203
28-Feb-95,8.38,-0.39,-20.64439141,Normal,53096
31-Mar-95,8.08,0.96,-19.67821782,Normal,53201
30-Apr-95,8.29,2.27,-20.14475271,Normal,53591
31-May-95,8.22,0.96,-14.72019465,Normal,53678
30-Jun-95,7.94,0.56,-11.08312343,Normal,53735
31-Jul-95,7.89,1.3,-9.759188847,Normal,53901
31-Aug-95,7.99,0.41,-11.2640801,Normal,53600
30-Sept-95,7.99,-0.21,-11.63954944,Normal,53309
31-Oct-95,7.99,-0.22,-12.89111389,Normal,52845
30-Nov-95,7.99,-0.15,-13.14142678,Normal,52788
31-Dec-95,7.99,0.32,-9.386733417,Normal,52922
31-Jan-96,6.7,0.29,8.805970149,Normal,52333
29-Feb-96,6.65,-0.37,10.52631579,Normal,52536
31-Mar-96,6.49,1.31,9.553158706,Normal,52683
30-Apr-96,6.62,1.91,9.365558912,Normal,53331
31-May-96,7.01,1.11,1.997146933,Normal,53822
30-Jun-96,7.06,1.5,1.133144476,Normal,54093
31-Jul-96,7.12,1.71,1.123595506,Normal,54704
31-Aug-96,7.09,1.54,1.128349788,Normal,55107
30-Sept-96,7.06,1.56,0,Normal,55026
31-Oct-96,6.96,0.63,1.58045977,Normal,54931
30-Nov-96,6.94,1.31,1.44092219,Normal,55497
31-Dec-96,7.24,1.13,-1.519337017,Normal,55755
31-Jan-97,7.29,0.2,-2.19478738,Normal,55789
28-Feb-97,7.35,0.55,-3.673469388,Normal,56199
31-Mar-97,7.11,1.83,-1.265822785,Normal,56784
30-Apr-97,7.24,3.4,-1.38121547,Normal,57577
31-May-97,7.15,0.89,-0.41958042,Normal,58498
30-Jun-97,7.14,1.15,-2.801120448,Normal,59140
31-Jul-97,7.2,1.59,-1.666666667,Normal,60089
31-Aug-97,7.17,1.14,2.231520223,Normal,60750
30-Sept-97,7.06,0.1,2.974504249,Normal,60991
31-Oct-97,7.07,-0.39,-2.263083451,Normal,61048
30-Nov-97,7.04,0.34,-5.397727273,Normal,61499
31-Dec-97,7.13,0.77,-9.957924264,Normal,61564
31-Jan-98,7.13,0.22,-17.25105189,Normal,61902
28-Feb-98,7.08,-0.16,-18.36158192,Normal,61659
31-Mar-98,7.02,1.18,-19.65811966,Normal,62253
30-Apr-98,7.14,2.58,-20.0280112,Normal,63666
31-May-98,7.12,1.46,-19.66292135,Normal,64277
30-Jun-98,6.94,1.42,-15.129683,Normal,64637
31-Jul-98,7.08,1.61,-15.25423729,Normal,65475
31-Aug-98,7.33,2.08,-15.55252387,Normal,65743
30-Sept-98,7.27,0.38,-14.44291609,Normal,65606
31-Oct-98,6.91,0.51,-5.933429812,Normal,65462
30-Nov-98,6.66,0.98,-0.900900901,Normal,65365
31-Dec-98,6.42,0.96,1.557632399,Normal,65575
31-Jan-99,5.9,0.23,14.91525424,Normal,65766
28-Feb-99,5.78,0.48,17.47404844,Normal,65522
31-Mar-99,5.64,2.36,14.36170213,Normal,66378
30-Apr-99,5.71,2.42,10.50788091,Normal,67648
31-May-99,5.72,3.06,11.71328671,Normal,68402
30-Jun-99,5.89,2.25,9.677419355,Normal,69428
31-Jul-99,6,2.99,6.166666667,Normal,70612
31-Aug-99,6.19,2.57,2.584814216,Normal,71699
30-Sept-99,6.22,0.96,1.446945338,Normal,72816
31-Oct-99,6.5,1.72,-6.923076923,Normal,73273
30-Nov-99,6.6,2.43,-8.181818182,Normal,74234
31-Dec-99,6.52,1.09,-7.515337423,Normal,75071
31-Jan-00,6.78,1.36,-14.74926254,Normal,75219
29-Feb-00,6.79,0.12,-16.05301915,Normal,75630
31-Mar-00,6.45,1.24,-11.9379845,Normal,77016
30-Apr-00,6.31,2.42,-10.77654517,Normal,79635
31-May-00,6.39,1.63,-11.58059468,Normal,80348
30-Jun-00,6.46,0.82,-11.45510836,Normal,81269
31-Jul-00,6.37,2.29,-7.064364207,Normal,82563
31-Aug-00,6.35,1.19,-12.12598425,Normal,83504
30-Sept-00,6.31,-0.04,-14.5800317,Normal,83590
31-Oct-00,6.05,1.52,-16.36363636,Normal,83261
30-Nov-00,6.06,0.95,-20.1320132,Normal,83546
31-Dec-00,6.03,1.32,-17.41293532,Normal,84191
31-Jan-01,5.78,0.53,-12.4567474,Normal,84377
28-Feb-01,5.7,0.4,-9.824561404,Normal,84245
31-Mar-01,5.68,1.63,-8.098591549,Normal,85242
30-Apr-01,5.63,3.28,-4.973357016,Normal,87439
31-May-01,5.65,1.95,-3.89380531,Normal,88719
30-Jun-01,5.72,2.27,-5.41958042,Normal,89980
31-Jul-01,5.92,2.09,-10.47297297,Normal,91430
31-Aug-01,5.58,1.3,-17.74193548,Normal,93331
30-Sept-01,5.39,0.3,-16.51205937,Normal,93682
31-Oct-01,5.06,0.07,-12.45059289,Normal,94161
30-Nov-01,4.84,0.61,-8.05785124,Normal,95083
31-Dec-01,4.98,-0.28,-7.228915663,Normal,95992
31-Jan-02,5.06,-0.82,-11.06719368,Normal,96215
28-Feb-02,5.14,0.02,-19.45525292,Normal,96676
31-Mar-02,5.22,0.65,-22.22222222,Normal,98962
30-Apr-02,5.35,1.06,-24.11214953,Normal,101355
31-May-02,5.43,1.07,-27.99263352,Normal,104458
30-Jun-02,5.41,0.62,-28.83548983,Normal,106811
31-Jul-02,5.3,1.03,-26.98113208,Normal,110001
31-Aug-02,4.59,0.41,-5.882352941,Normal,112832
30-Sept-02,4.5,-0.16,1.333333333,Normal,113914
31-Oct-02,4.43,-0.32,12.41534989,Normal,115879
30-Nov-02,4.45,0.4,14.60674157,Normal,118693
31-Dec-02,4.62,0.57,9.307359307,Normal,119982
31-Jan-03,4.5,-0.42,10,Normal,121610
28-Feb-03,4.14,0.21,18.11594203,Normal,121754
31-Mar-03,4.06,0.66,20.68965517,Normal,123258
30-Apr-03,4.06,1.86,25.86206897,Normal,126239
31-May-03,3.91,0.92,32.48081841,Normal,128299
30-Jun-03,3.85,0.89,43.37662338,Normal,129353
31-Jul-03,3.87,1.11,42.89405685,Normal,132318
31-Aug-03,4.32,0.82,26.62037037,Normal,133896
30-Sept-03,4.56,0.38,16.88596491,Normal,133848
31-Oct-03,4.98,0.37,6.224899598,Normal,135885
30-Nov-03,5.1,0.44,-0.784313725,Normal,137178
31-Dec-03,5.05,1.29,0.396039604,Normal,138985
31-Jan-04,4.95,-0.11,0.808080808,Normal,139719
29-Feb-04,4.89,0.32,3.680981595,Normal,140284
31-Mar-04,4.9,0.72,6.12244898,Normal,142571
30-Apr-04,5.11,1.63,0.978473581,Normal,147250
31-May-04,5.18,1.13,-5.212355212,Normal,150115
30-Jun-04,5.52,1.06,-13.58695652,Normal,153527
31-Jul-04,5.53,1.33,-16.99819168,Normal,156730
