Date,Region,New Build,Other,All,First Time Buyers
1990,England,78626,61158,63173,48482
1991,England,76259,63899,65299,49635
1992,England,75070,62281,63692,49190
1993,England,74825,62811,64572,49765
1994,England,77445,65477,67518,50610
1995,England,81414,65372,68066,48311
1996,England,88415,70108,72210,50122
1997,England,97111,76532,78831,54775
1998,England,101068,82420,84695,63473
1999,England,119127,93475,96133,74420
2000,England,131055,104315,106998,80084
2001,England,142645,117067,119563,89990
2002,England,169304,133974,137278,111028
2003,England,205286,164944,166820,117688
2004,England,222079,188953,192002,139573
2005,England,225419,200115,202409,149529
2006,England,228451,213414,214045,153752
2007,England,225594,232468,232054,166527
2008,England,220436,238366,237112,170226
2009,England,200053,235621,233512,170879
2010,England,217524,264386,261192,191716
2011,England,228746,258369,255538,187767
2012,England,235541,257306,256151,190062
2013,England,246054,261419,260850,198039
2014,England,285304,278125,277863,210584
2015,England,288855,291448,290874,215004
2016,England,301677,297978,298462,223564
2017,England,313167,295033,297741,225695
2018,England,318067,296677,300167,231241
2019,England,316595,296481,299914,231724
2020,England,326356,320251,320962,246103
2021,England,326845,344459,341788,256854
1990,North East,66178,38203,41374,29652
1991,North East,72251,42154,45395,33262
1992,North East,69002,44921,47485,35237
1993,North East,73982,45667,48725,37254
1994,North East,73395,45723,48893,36539
1995,North East,68194,43567,46565,34070
1996,North East,74832,47387,51009,36130
1997,North East,75781,49763,52824,36628
1998,North East,75657,53115,55957,43654
1999,North East,85343,58008,61620,48182
2000,North East,91373,60601,63921,51070
2001,North East,105078,66781,69813,53117
2002,North East,122931,73917,78971,58916
2003,North East,152591,97414,100344,62533
2004,North East,181135,123606,126611,81434
2005,North East,184158,132031,135210,93040
2006,North East,188488,138669,141125,97039
2007,North East,194375,149433,152295,107448
2008,North East,198057,155491,158532,112183
2009,North East,180224,155156,156825,114604
2010,North East,177236,160285,161543,114661
2011,North East,168166,152426,153277,109508
2012,North East,166101,150904,152501,109913
2013,North East,178885,151370,154384,111807
2014,North East,189101,157971,161606,118176
2015,North East,190157,164113,167750,123296
2016,North East,200938,163453,168513,127494
2017,North East,214751,158107,167535,127421
2018,North East,217846,157597,168726,129333
2019,North East,227879,158217,171047,131451
2020,North East,234437,169075,179862,137191
2021,North East,241317,181658,192096,143956
1990,North West,79117,47053,50361,35876
1991,North West,74395,50034,52951,39346
1992,North West,77177,53877,56488,42249
1993,North West,72688,53369,55641,42962
1994,North West,72220,54588,57242,42813
1995,North West,74608,52538,56231,41201
1996,North West,71969,55790,57609,41592
1997,North West,84057,60141,63077,44741
1998,North West,83772,63165,65666,49771
1999,North West,92212,69129,72017,54824
2000,North West,102958,74535,77913,59714
2001,North West,110065,80033,82402,62608
2002,North West,129488,88776,92074,73363
2003,North West,154983,112478,115003,72859
2004,North West,179022,136564,139095,90744
2005,North West,191009,146619,149440,104167
2006,North West,195855,155755,157506,110554
2007,North West,199674,168401,170072,120677
2008,North West,198746,173444,174849,123084
2009,North West,175295,174249,174305,122571
2010,North West,182247,183623,183364,125791
2011,North West,192784,175442,175402,123515
2012,North West,183686,173094,173590,123085
2013,North West,186065,173700,174657,127247
2014,North West,196036,182793,184332,135800
2015,North West,211450,190259,192489,140829
2016,North West,230802,192703,196523,146978
2017,North West,239382,191936,197885,148521
2018,North West,242755,195589,202000,154105
2019,North West,237453,198497,204615,157315
2020,North West,248758,211266,216767,164822
2021,North West,267727,232262,237044,175836
1990,Yorkshire and the Humber,71850,44764,47231,34620
1991,Yorkshire and the Humber,71810,50191,52343,38604
1992,Yorkshire and the Humber,74926,49854,52291,40464
1993,Yorkshire and the Humber,74851,52036,54572,41474
1994,Yorkshire and the Humber,71436,51806,54352,40701
1995,Yorkshire and the Humber,77476,50811,54356,39732
1996,Yorkshire and the Humber,80012,53198,55867,39944
1997,Yorkshire and the Humber,83543,57307,60019,43021
1998,Yorkshire and the Humber,84084,59050,62214,47819
1999,Yorkshire and the Humber,93140,64118,67416,53639
2000,Yorkshire and the Humber,97077,68541,72176,55505
2001,Yorkshire and the Humber,102051,73251,76368,55856
2002,Yorkshire and the Humber,134907,83333,88126,69096
2003,Yorkshire and the Humber,155387,112243,114253,73336
2004,Yorkshire and the Humber,178172,134941,137317,91115
2005,Yorkshire and the Humber,182588,145494,148014,102788
2006,Yorkshire and the Humber,196003,156425,158247,110164
2007,Yorkshire and the Humber,197402,168330,170203,119722
2008,Yorkshire and the Humber,200704,171008,173158,122510
2009,Yorkshire and the Humber,181389,175678,176040,125496
2010,Yorkshire and the Humber,187039,182202,182087,128507
2011,Yorkshire and the Humber,182985,170750,171332,121608
2012,Yorkshire and the Humber,182044,170076,171179,121779
2013,Yorkshire and the Humber,181151,171203,171905,125320
2014,Yorkshire and the Humber,197003,180073,182146,133274
2015,Yorkshire and the Humber,208050,185468,188056,138001
2016,Yorkshire and the Humber,227393,188178,192075,142746
2017,Yorkshire and the Humber,236618,185725,192185,143196
2018,Yorkshire and the Humber,240259,188490,195664,148074
2019,Yorkshire and the Humber,242271,191108,198812,151076
2020,Yorkshire and the Humber,250290,203847,210205,158183
2021,Yorkshire and the Humber,259595,223396,228368,166861
1990,East Midlands,69123,49737,52620,40613
1991,East Midlands,67995,53461,55740,41748
1992,East Midlands,68697,52106,54551,41284
1993,East Midlands,69561,50664,53797,41976
1994,East Midlands,70767,51932,55119,42143
1995,East Midlands,70813,51800,55060,39835
1996,East Midlands,80011,55469,58855,40854
1997,East Midlands,84083,58184,61930,44342
1998,East Midlands,92100,61832,66155,49602
1999,East Midlands,101284,67553,72437,55072
2000,East Midlands,110561,74227,79323,59099
2001,East Midlands,121954,83048,87280,64422
2002,East Midlands,140428,100456,104835,82326
2003,East Midlands,169920,129504,132013,90978
2004,East Midlands,189625,151264,154493,110592
2005,East Midlands,191234,158612,161487,118040
2006,East Midlands,193529,162384,164336,117038
2007,East Midlands,196219,174538,176255,124019
2008,East Midlands,188409,175958,177025,125200
2009,East Midlands,171358,172440,172415,122469
2010,East Midlands,174300,185682,184610,128162
2011,East Midlands,186473,178710,178884,124986
2012,East Midlands,187551,175044,176592,125014
2013,East Midlands,190706,176410,177702,129035
2014,East Midlands,208753,185278,187812,137498
2015,East Midlands,220305,195209,199383,145443
2016,East Midlands,238996,202147,206744,154787
2017,East Midlands,249980,205145,212653,160700
2018,East Midlands,265841,212954,222456,169261
2019,East Midlands,265257,214350,223878,171571
2020,East Midlands,269304,229412,235999,178147
2021,East Midlands,278798,253546,258272,193436
1990,West Midlands,70598,52586,54694,40097
1991,West Midlands,72039,56622,58659,44725
1992,West Midlands,70903,55923,57881,44237
1993,West Midlands,69051,56781,58508,44530
1994,West Midlands,71037,56924,59089,45208
1995,West Midlands,78039,59261,62123,43474
1996,West Midlands,83903,61997,64320,44829
1997,West Midlands,93368,64996,67803,46306
1998,West Midlands,93359,69196,71864,52701
1999,West Midlands,113198,75833,79757,60116
2000,West Midlands,122525,84833,88431,63582
2001,West Midlands,130810,94636,97650,68315
2002,West Midlands,159160,108035,112313,84862
2003,West Midlands,179731,135212,137371,87098
2004,West Midlands,193811,158026,161846,107990
2005,West Midlands,196788,165839,168904,118724
2006,West Midlands,199844,176014,177182,123754
2007,West Midlands,197013,184267,185048,129726
2008,West Midlands,189475,185043,185260,132799
2009,West Midlands,181305,185132,184900,132804
2010,West Midlands,187175,202318,201352,138359
2011,West Midlands,193333,189008,189054,133591
2012,West Midlands,197567,186981,188197,134678
2013,West Midlands,194543,189576,190509,137470
2014,West Midlands,205817,202140,202274,145575
2015,West Midlands,228197,209076,211376,153515
2016,West Midlands,245258,216377,219365,162666
2017,West Midlands,260133,217024,223149,167523
2018,West Midlands,269789,223791,230819,175630
2019,West Midlands,279288,222514,231539,178599
2020,West Midlands,282706,240830,246856,186883
2021,West Midlands,282260,263233,266121,198139
1990,East of England,78674,70480,71671,55294
1991,East of England,76508,68828,69865,53739
1992,East of England,71930,64170,65198,49593
1993,East of England,72974,65200,66756,49777
1994,East of England,78619,67256,69431,50461
1995,East of England,83062,67384,70036,49118
1996,East of England,87815,71071,73403,50917
1997,East of England,102971,78469,81378,57115
1998,East of England,111856,84899,88682,64938
1999,East of England,123658,93304,96841,74054
2000,East of England,141845,108510,111813,83834
2001,East of England,160231,123981,127858,95002
2002,East of England,191443,147257,151330,121326
2003,East of England,226900,180584,183234,128374
2004,East of England,238869,199303,202985,146442
2005,East of England,240519,209397,211661,155264
2006,East of England,249143,219827,221125,156624
2007,East of England,235754,238321,238147,169285
2008,East of England,222604,246146,244439,172350
2009,East of England,211310,235004,233491,165056
2010,East of England,228967,263961,261445,182947
2011,East of England,248369,257040,255956,179018
2012,East of England,253463,255956,255499,182424
2013,East of England,276902,256987,258066,186331
2014,East of England,302623,279100,279726,203548
2015,East of England,313960,304652,305996,221465
2016,East of England,335254,325582,326467,236195
2017,East of England,343216,333320,335126,248908
2018,East of England,352204,335287,338341,256841
2019,East of England,350575,336302,339049,259431
2020,East of England,350579,357725,356292,270741
2021,East of England,366667,380207,377976,280353
1990,London,94745,83238,83821,69292
1991,London,84074,85834,85742,68952
1992,London,72122,78451,78049,65035
1993,London,78084,80707,81332,65554
1994,London,75200,87563,87631,62214
